"id";"latitude";"longitude";"depth";"yearcollected";"tname"
374643704;50.61;-1.15;;1979;"Cystoseira tamariscifolia"
374647877;51.13;-4.28;;1992;"Cystoseira tamariscifolia"
374651228;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374653066;50.32;-4.52;;1994;"Cystoseira tamariscifolia"
374678159;50.52;-2.14;;1976;"Cystoseira tamariscifolia"
374678160;50.52;-2.14;;1976;"Cystoseira tamariscifolia"
374687951;50.23;-4.24;;1972;"Cystoseira tamariscifolia"
374689297;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374689298;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374696109;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374703831;51.12;-4.71;;1980;"Cystoseira tamariscifolia"
374707815;56.56;-6.39;;1976;"Cystoseira tamariscifolia"
374710058;50.61;-3.41;;1994;"Cystoseira tamariscifolia"
374712568;50.24;-4.10;;1993;"Cystoseira tamariscifolia"
374724787;49.90;-6.45;;1988;"Cystoseira tamariscifolia"
374742124;50.20;-5.64;;1977;"Cystoseira tamariscifolia"
374746106;50.67;-4.69;;1979;"Cystoseira tamariscifolia"
374746199;50.52;-2.28;;1976;"Cystoseira tamariscifolia"
374747260;50.52;-2.28;;1976;"Cystoseira tamariscifolia"
374747280;50.02;-5.63;;1977;"Cystoseira tamariscifolia"
374747281;50.02;-5.63;;1977;"Cystoseira tamariscifolia"
374758025;50.95;-4.56;;1992;"Cystoseira tamariscifolia"
374759316;50.32;-4.52;;1996;"Cystoseira tamariscifolia"
374771731;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
374783335;50.24;-4.10;;1993;"Cystoseira tamariscifolia"
374793513;57.50;-7.67;;1978;"Cystoseira tamariscifolia"
374804480;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
374808161;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
374812473;49.94;-5.20;;1994;"Cystoseira tamariscifolia"
374812745;50.02;-5.63;;1977;"Cystoseira tamariscifolia"
374812746;50.02;-5.63;;1977;"Cystoseira tamariscifolia"
374812978;51.12;-4.71;;1984;"Cystoseira tamariscifolia"
374813028;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
374813029;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
374816605;50.23;-4.24;;1993;"Cystoseira tamariscifolia"
374830258;50.42;-3.55;;1977;"Cystoseira tamariscifolia"
374830259;50.42;-3.55;;1977;"Cystoseira tamariscifolia"
374830493;50.24;-4.10;;1977;"Cystoseira tamariscifolia"
374830632;50.24;-4.10;;1977;"Cystoseira tamariscifolia"
374831871;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374835943;56.56;-6.39;;1976;"Cystoseira tamariscifolia"
374840232;50.15;-3.82;;1992;"Cystoseira tamariscifolia"
374840980;50.12;-5.07;;1977;"Cystoseira tamariscifolia"
374840981;50.12;-5.07;;1977;"Cystoseira tamariscifolia"
374850528;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
374851780;50.24;-3.96;;1976;"Cystoseira tamariscifolia"
374851781;50.24;-3.96;;1976;"Cystoseira tamariscifolia"
374864712;49.90;-6.31;;1983;"Cystoseira tamariscifolia"
374868638;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
374885543;50.48;-5.10;;1996;"Cystoseira tamariscifolia"
374897803;50.24;-4.10;;1993;"Cystoseira tamariscifolia"
374902550;50.61;-3.41;;1992;"Cystoseira tamariscifolia"
374908882;50.32;-4.52;;1977;"Cystoseira tamariscifolia"
374910503;50.32;-4.52;;1977;"Cystoseira tamariscifolia"
374927009;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
374927010;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
374927045;50.32;-4.24;;1993;"Cystoseira tamariscifolia"
374927133;50.49;-4.96;;1977;"Cystoseira tamariscifolia"
374927251;50.03;-5.21;;1977;"Cystoseira tamariscifolia"
374927252;50.03;-5.21;;1977;"Cystoseira tamariscifolia"
374928416;50.24;-4.10;;1992;"Cystoseira tamariscifolia"
374928598;50.11;-5.49;;1977;"Cystoseira tamariscifolia"
374928599;50.11;-5.49;;1977;"Cystoseira tamariscifolia"
374928747;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
374928748;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
374928785;49.94;-5.20;;1994;"Cystoseira tamariscifolia"
374934859;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
374959298;49.81;-6.44;;1983;"Cystoseira tamariscifolia"
374966521;51.65;-5.32;;1978;"Cystoseira tamariscifolia"
374967470;50.03;-5.21;;1987;"Cystoseira tamariscifolia"
374970551;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
374975435;50.20;-5.64;;1977;"Cystoseira tamariscifolia"
374980488;49.90;-6.45;;1983;"Cystoseira tamariscifolia"
375001670;50.67;-4.69;;1979;"Cystoseira tamariscifolia"
375011886;50.24;-3.82;;1992;"Cystoseira tamariscifolia"
375015905;50.24;-4.10;;1992;"Cystoseira tamariscifolia"
375020335;51.65;-5.32;;1978;"Cystoseira tamariscifolia"
375034488;50.24;-4.10;;1995;"Cystoseira tamariscifolia"
375035821;50.24;-4.10;;1992;"Cystoseira tamariscifolia"
376239976;50.12;-5.07;;2006;"Cystoseira tamariscifolia"
376240041;50.61;-3.41;;2007;"Cystoseira tamariscifolia"
376240063;50.15;-3.82;;2006;"Cystoseira tamariscifolia"
376240120;50.52;-2.14;;2008;"Cystoseira tamariscifolia"
376240141;50.12;-5.07;;2006;"Cystoseira tamariscifolia"
376240182;50.15;-3.82;;2008;"Cystoseira tamariscifolia"
376240237;50.49;-4.96;;2008;"Cystoseira tamariscifolia"
376240337;50.15;-3.82;;2006;"Cystoseira tamariscifolia"
376240375;50.15;-3.82;;2007;"Cystoseira tamariscifolia"
376372854;54.38;-5.59;;2009;"Cystoseira tamariscifolia"
376666502;50.24;-4.10;;2007;"Cystoseira tamariscifolia"
376669357;50.12;-5.07;;1992;"Cystoseira tamariscifolia"
377390405;36.75;-3.82;"0";2008;"Cystoseira tamariscifolia"
377390510;36.99;-4.72;"0";2007;"Cystoseira tamariscifolia"
377390626;36.75;-3.82;"-3";2008;"Cystoseira tamariscifolia"
377422543;52.81;-9.46;;2003;"Cystoseira tamariscifolia"
378478285;50.10;-5.45;;1992;"Cystoseira tamariscifolia"
378478314;53.18;-4.48;;2002;"Cystoseira tamariscifolia"
378479351;50.14;-5.03;;1992;"Cystoseira tamariscifolia"
378480441;50.31;-4.06;;2009;"Cystoseira tamariscifolia"
378532945;41.05;-8.65;;2004;"Cystoseira tamariscifolia"
378532946;41.79;-8.87;;2002;"Cystoseira tamariscifolia"
378532947;41.20;-8.71;;2004;"Cystoseira tamariscifolia"
378532948;41.41;-8.78;;2004;"Cystoseira tamariscifolia"
378532949;41.69;-8.85;;2002;"Cystoseira tamariscifolia"
378532950;41.82;-8.87;;2002;"Cystoseira tamariscifolia"
378534161;41.31;-8.74;;2003;"Cystoseira tamariscifolia"
378534276;41.75;-8.87;;2003;"Cystoseira tamariscifolia"
378534798;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
378534861;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
378534902;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
378534937;41.69;-8.85;;2003;"Cystoseira tamariscifolia"
378535016;41.82;-8.60;;2003;"Cystoseira tamariscifolia"
378535041;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535140;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535166;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535282;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535311;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535352;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
378535460;41.79;-8.87;;2003;"Cystoseira tamariscifolia"
379450662;51.16;-4.65;;1991;"Cystoseira tamariscifolia"
379666030;51.12;-4.71;;1950;"Cystoseira tamariscifolia"
379668420;50.61;-3.27;;1850;"Cystoseira tamariscifolia"
379669366;51.12;-4.71;;1969;"Cystoseira tamariscifolia"
379669405;51.12;-4.71;;1969;"Cystoseira tamariscifolia"
379669739;53.19;-4.54;;1951;"Cystoseira tamariscifolia"
379669864;49.90;-6.31;;1967;"Cystoseira tamariscifolia"
379672604;54.75;-8.62;;1955;"Cystoseira tamariscifolia"
379672663;53.13;-9.19;;1976;"Cystoseira tamariscifolia"
379673181;50.03;-5.07;;1980;"Cystoseira tamariscifolia"
379673331;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
379673332;50.20;-5.50;;1975;"Cystoseira tamariscifolia"
379673564;50.61;-1.15;;1968;"Cystoseira tamariscifolia"
379673566;50.79;-1.15;;1968;"Cystoseira tamariscifolia"
379673574;53.13;-9.19;;1976;"Cystoseira tamariscifolia"
379674683;51.65;-5.32;;1966;"Cystoseira tamariscifolia"
379675532;56.44;-7.03;;1981;"Cystoseira tamariscifolia"
379676026;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
379677819;50.52;-2.28;;1976;"Cystoseira tamariscifolia"
379677841;50.24;-3.96;;1977;"Cystoseira tamariscifolia"
379677952;56.56;-6.39;;1976;"Cystoseira tamariscifolia"
379677974;50.61;-1.15;;1976;"Cystoseira tamariscifolia"
379677983;57.50;-7.67;;1978;"Cystoseira tamariscifolia"
379677988;50.11;-5.49;;1977;"Cystoseira tamariscifolia"
379677996;50.15;-3.82;;1976;"Cystoseira tamariscifolia"
379677999;50.24;-4.10;;1977;"Cystoseira tamariscifolia"
379678001;50.24;-4.10;;1976;"Cystoseira tamariscifolia"
379678241;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
379678244;50.02;-5.63;;1977;"Cystoseira tamariscifolia"
379678251;50.12;-5.07;;1977;"Cystoseira tamariscifolia"
379678276;50.52;-2.28;;1976;"Cystoseira tamariscifolia"
379678281;56.56;-6.39;;1976;"Cystoseira tamariscifolia"
379678303;50.52;-2.14;;1976;"Cystoseira tamariscifolia"
379678313;50.24;-3.96;;1976;"Cystoseira tamariscifolia"
379678318;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
379678328;50.03;-5.21;;1977;"Cystoseira tamariscifolia"
379678330;50.42;-3.55;;1977;"Cystoseira tamariscifolia"
379678334;50.32;-4.52;;1977;"Cystoseira tamariscifolia"
379678341;50.48;-5.10;;1977;"Cystoseira tamariscifolia"
379678342;50.20;-5.64;;1977;"Cystoseira tamariscifolia"
379678411;50.20;-5.64;;1977;"Cystoseira tamariscifolia"
379678423;50.02;-5.49;;1977;"Cystoseira tamariscifolia"
379683231;50.03;-5.35;;1980;"Cystoseira tamariscifolia"
379683646;50.52;-2.14;;1972;"Cystoseira tamariscifolia"
379683653;50.52;-2.14;;1964;"Cystoseira tamariscifolia"
379684017;49.94;-5.06;;1950;"Cystoseira tamariscifolia"
379684331;53.13;-9.19;;1976;"Cystoseira tamariscifolia"
379684430;50.12;-5.07;;1960;"Cystoseira tamariscifolia"
379684432;50.03;-5.21;;1972;"Cystoseira tamariscifolia"
379684542;53.57;-6.18;;1854;"Cystoseira tamariscifolia"
379685891;50.67;-4.69;;1979;"Cystoseira tamariscifolia"
379685972;50.24;-3.96;;1972;"Cystoseira tamariscifolia"
379686987;54.39;-8.30;;1891;"Cystoseira tamariscifolia"
379687395;53.75;-10.12;;1960;"Cystoseira tamariscifolia"
379689142;50.15;-3.68;;1962;"Cystoseira tamariscifolia"
379691609;52.77;-9.48;;1960;"Cystoseira tamariscifolia"
379691694;51.88;-7.71;;1960;"Cystoseira tamariscifolia"
379691711;52.77;-9.48;;1960;"Cystoseira tamariscifolia"
379692431;53.03;-9.64;;1957;"Cystoseira tamariscifolia"
379694122;53.13;-9.19;;1960;"Cystoseira tamariscifolia"
379694171;53.56;-10.26;;1966;"Cystoseira tamariscifolia"
379697375;51.65;-5.18;;1966;"Cystoseira tamariscifolia"
379697418;51.65;-5.32;;1966;"Cystoseira tamariscifolia"
379697426;51.65;-5.18;;1966;"Cystoseira tamariscifolia"
379698398;50.67;-4.69;;1979;"Cystoseira tamariscifolia"
379699302;50.24;-4.10;;1979;"Cystoseira tamariscifolia"
379699760;50.03;-5.21;;1979;"Cystoseira tamariscifolia"
379699763;49.94;-5.20;;1978;"Cystoseira tamariscifolia"
379699764;50.03;-5.35;;1980;"Cystoseira tamariscifolia"
379700057;50.03;-5.35;;1960;"Cystoseira tamariscifolia"
379700316;50.03;-5.21;;1978;"Cystoseira tamariscifolia"
379701706;49.94;-5.34;;1950;"Cystoseira tamariscifolia"
379701716;50.20;-5.64;;1975;"Cystoseira tamariscifolia"
379701727;50.31;-4.81;;1950;"Cystoseira tamariscifolia"
379701735;49.90;-6.31;;1950;"Cystoseira tamariscifolia"
379701755;50.67;-4.69;;1950;"Cystoseira tamariscifolia"
379701768;49.90;-6.45;;1950;"Cystoseira tamariscifolia"
379702540;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
379702591;50.11;-5.63;;1950;"Cystoseira tamariscifolia"
379702808;50.23;-4.24;;1978;"Cystoseira tamariscifolia"
379707056;56.56;-6.39;;1968;"Cystoseira tamariscifolia"
379707067;49.94;-5.20;;1979;"Cystoseira tamariscifolia"
379707068;50.03;-5.21;;1978;"Cystoseira tamariscifolia"
379707427;49.94;-5.20;;1977;"Cystoseira tamariscifolia"
379708068;49.94;-5.20;;1979;"Cystoseira tamariscifolia"
379708561;56.37;-6.53;;1969;"Cystoseira tamariscifolia"
379708625;50.22;-4.94;;1976;"Cystoseira tamariscifolia"
379708649;49.94;-5.20;;1979;"Cystoseira tamariscifolia"
379709127;50.31;-4.67;;1960;"Cystoseira tamariscifolia"
379709264;50.22;-4.80;;1950;"Cystoseira tamariscifolia"
379709369;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
379709750;50.22;-4.80;;1972;"Cystoseira tamariscifolia"
379709755;50.23;-4.24;;1972;"Cystoseira tamariscifolia"
379710048;50.22;-4.94;;1977;"Cystoseira tamariscifolia"
379710393;49.81;-6.44;;1950;"Cystoseira tamariscifolia"
379710739;50.12;-5.07;;1972;"Cystoseira tamariscifolia"
379711409;51.97;-7.56;;1987;"Cystoseira tamariscifolia"
379711979;52.91;1.27;;1937;"Cystoseira tamariscifolia"
379712723;53.13;-9.19;;1958;"Cystoseira tamariscifolia"
379712724;53.13;-9.19;;1984;"Cystoseira tamariscifolia"
379712740;53.21;-9.64;;1960;"Cystoseira tamariscifolia"
379712796;52.77;-9.63;;1999;"Cystoseira tamariscifolia"
379714756;53.03;-9.64;;1987;"Cystoseira tamariscifolia"
379716619;51.60;-9.58;;1960;"Cystoseira tamariscifolia"
379717083;54.30;-8.76;;1984;"Cystoseira tamariscifolia"
379718239;55.20;-7.68;;1989;"Cystoseira tamariscifolia"
379718848;50.03;-5.35;;1977;"Cystoseira tamariscifolia"
379720087;52.68;-9.62;;1999;"Cystoseira tamariscifolia"
379720402;50.52;-2.00;;;"Cystoseira tamariscifolia"
379720600;51.49;-4.30;;1960;"Cystoseira tamariscifolia"
379720852;50.52;-2.00;;1972;"Cystoseira tamariscifolia"
379721262;53.21;-9.64;;1959;"Cystoseira tamariscifolia"
379722787;49.94;-5.20;;1979;"Cystoseira tamariscifolia"
379722972;49.94;-5.06;;1977;"Cystoseira tamariscifolia"
379723666;51.42;-9.29;;1960;"Cystoseira tamariscifolia"
379726413;52.22;-10.04;;1960;"Cystoseira tamariscifolia"
379726892;51.60;-9.58;;1988;"Cystoseira tamariscifolia"
379728742;56.56;-6.39;;1968;"Cystoseira tamariscifolia"
379728847;53.13;-9.19;;1987;"Cystoseira tamariscifolia"
379730223;52.31;-10.05;;1999;"Cystoseira tamariscifolia"
379730353;51.12;-4.71;;1969;"Cystoseira tamariscifolia"
379730919;52.31;-10.05;;1999;"Cystoseira tamariscifolia"
379730925;52.31;-9.90;;1959;"Cystoseira tamariscifolia"
379731796;50.52;-2.14;;1974;"Cystoseira tamariscifolia"
379731802;50.52;-2.00;;1971;"Cystoseira tamariscifolia"
379731937;56.02;-6.33;;1967;"Cystoseira tamariscifolia"
379733317;53.13;-9.19;;1984;"Cystoseira tamariscifolia"
379733411;51.12;-4.71;;1980;"Cystoseira tamariscifolia"
379733827;50.52;-2.28;;1976;"Cystoseira tamariscifolia"
379733941;49.81;-6.31;;1983;"Cystoseira tamariscifolia"
379735233;54.37;-5.69;;1994;"Cystoseira tamariscifolia"
