"id";"latitude";"longitude";"depth";"yearcollected";"tname"
365307620;60.00;-1.17;;2008;"derived from benthic surveys 1993 to 2012"""
365307624;56.82;-5.85;;;"derived from benthic surveys 1993 to 2012"""
365308092;56.85;-5.75;;;"derived from benthic surveys 1993 to 2012"""
365308708;59.29;-2.44;;2008;"derived from benthic surveys 1993 to 2012"""
365309002;57.72;-7.11;;2005;"derived from benthic surveys 1993 to 2012"""
365309688;56.68;-6.00;;1995;"derived from benthic surveys 1993 to 2012"""
365310565;56.24;-5.74;;2005;"derived from benthic surveys 1993 to 2012"""
365310786;57.04;-6.46;;2010;"derived from benthic surveys 1993 to 2012"""
365311472;59.99;-1.17;;2008;"derived from benthic surveys 1993 to 2012"""
365312898;58.40;-5.10;;2001;"derived from benthic surveys 1993 to 2012"""
365312907;57.05;-6.51;;2010;"derived from benthic surveys 1993 to 2012"""
365314491;56.40;-7.08;;2010;"derived from benthic surveys 1993 to 2012"""
365315159;57.06;-6.34;;2010;"derived from benthic surveys 1993 to 2012"""
365315469;57.06;-6.36;;2010;"derived from benthic surveys 1993 to 2012"""
365315498;57.08;-7.26;;2006;"derived from benthic surveys 1993 to 2012"""
365316584;60.31;-1.69;;2003;"derived from benthic surveys 1993 to 2012"""
365317108;57.71;-7.10;;2005;"derived from benthic surveys 1993 to 2012"""
365317352;60.00;-1.18;;2008;"derived from benthic surveys 1993 to 2012"""
365350437;51.73;-5.27;;2007;"Saccorhiza polyschides"
365352856;51.73;-5.23;;2007;"Saccorhiza polyschides"
365354336;51.73;-5.23;;2007;"Saccorhiza polyschides"
365355377;51.74;-5.28;;2005;"Saccorhiza polyschides"
365357514;51.73;-5.27;;2007;"Saccorhiza polyschides"
365359779;51.74;-5.28;;2005;"Saccorhiza polyschides"
365408829;49.90;-6.45;;1997;"Saccorhiza polyschides"
365525274;43.47;-3.91;;1988;"Cryptogams Collection: VAL_Algae"""
365525545;43.47;-3.91;;1988;"Cryptogams Collection: VAL_Algae"""
365525615;43.47;-3.91;;1988;"Cryptogams Collection: VAL_Algae"""
365525790;43.47;-3.91;;1988;"Cryptogams Collection: VAL_Algae"""
365525804;43.54;-6.38;;1988;"Cryptogams Collection: VAL_Algae"""
365525811;43.47;-3.91;;1988;"Cryptogams Collection: VAL_Algae"""
365527207;43.54;-6.38;;1988;"Cryptogams Collection: VAL_Algae"""
365527259;43.54;-6.38;;1987;"Cryptogams Collection: VAL_Algae"""
343127259;55.43;-7.24;17.30;1995;"Saccorhiza polyschides"
343127327;55.43;-7.22;18.10;1995;"Saccorhiza polyschides"
343129992;51.78;-9.91;10.10;1995;"Saccorhiza polyschides"
343130162;51.79;-9.91;0.00;1995;"Saccorhiza polyschides"
343131642;53.95;-10.09;9.60;1995;"Saccorhiza polyschides"
343132332;51.52;-9.51;4.00;1978;"Saccorhiza polyschides"
343132707;51.51;-9.44;2.50;1978;"Saccorhiza polyschides"
343132801;51.65;-9.79;2.50;1978;"Saccorhiza polyschides"
343132816;51.65;-9.79;5.50;1978;"Saccorhiza polyschides"
343133081;52.93;-9.46;2.30;1996;"Saccorhiza polyschides"
343133491;53.15;-9.08;2.30;1996;"Saccorhiza polyschides"
343133551;53.15;-9.07;2.10;1996;"Saccorhiza polyschides"
343133621;53.16;-9.04;3.05;1996;"Saccorhiza polyschides"
343133698;53.16;-9.04;2.75;1996;"Saccorhiza polyschides"
343133748;53.16;-9.04;3.60;1996;"Saccorhiza polyschides"
343133799;52.05;-10.60;15.50;1996;"Saccorhiza polyschides"
343133997;52.06;-10.60;16.90;1996;"Saccorhiza polyschides"
343134412;52.33;-10.04;14.55;1996;"Saccorhiza polyschides"
343134526;52.32;-10.00;6.80;1996;"Saccorhiza polyschides"
343135605;52.54;-9.68;1.35;1996;"Saccorhiza polyschides"
343136026;52.68;-9.65;4.10;1996;"Saccorhiza polyschides"
343141887;51.65;-9.60;0.00;1996;"Saccorhiza polyschides"
343142070;52.13;-10.33;0.00;1996;"Saccorhiza polyschides"
343142131;52.13;-10.33;0.00;1996;"Saccorhiza polyschides"
343144097;52.08;-7.55;0.00;1996;"Saccorhiza polyschides"
343144154;52.08;-7.55;0.00;1996;"Saccorhiza polyschides"
343144267;52.08;-7.55;0.00;1996;"Saccorhiza polyschides"
